experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
response_sup_sumb_universality,1,1,samples/generated_response_time_3/response_n1_k1.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.000271263,1
response_sup_sumb_universality,1,2,samples/generated_response_time_3/response_n1_k2.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.000839178,1
response_sup_sumb_universality,1,3,samples/generated_response_time_3/response_n1_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.002276469,1
response_sup_sumb_universality,1,4,samples/generated_response_time_3/response_n1_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.006047870,1
response_sup_sumb_universality,1,5,samples/generated_response_time_3/response_n1_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.014638533,1
response_sup_sumb_universality,1,6,samples/generated_response_time_3/response_n1_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.029762464,1
response_sup_sumb_universality,1,7,samples/generated_response_time_3/response_n1_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.055119125,1
response_sup_sumb_universality,1,8,samples/generated_response_time_3/response_n1_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.107166691,1
response_sup_sumb_universality,1,9,samples/generated_response_time_3/response_n1_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.207929559,1
response_sup_sumb_universality,1,10,samples/generated_response_time_3/response_n1_k10.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.375040080,1
response_sup_sumb_universality,2,2,samples/generated_response_time_3/response_n2_k2.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.001129906,1
response_sup_sumb_universality,2,3,samples/generated_response_time_3/response_n2_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.004256168,1
response_sup_sumb_universality,2,4,samples/generated_response_time_3/response_n2_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.013291175,1
response_sup_sumb_universality,2,5,samples/generated_response_time_3/response_n2_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.044512573,1
response_sup_sumb_universality,2,6,samples/generated_response_time_3/response_n2_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.141370071,1
response_sup_sumb_universality,2,7,samples/generated_response_time_3/response_n2_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.423008737,1
response_sup_sumb_universality,2,8,samples/generated_response_time_3/response_n2_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,1.236200492,1
response_sup_sumb_universality,2,9,samples/generated_response_time_3/response_n2_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,3.608277409,1
response_sup_sumb_universality,2,10,samples/generated_response_time_3/response_n2_k10.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,10.496743075,1
response_sup_sumb_universality,3,3,samples/generated_response_time_3/response_n3_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.004634045,1
response_sup_sumb_universality,3,4,samples/generated_response_time_3/response_n3_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.017302591,1
response_sup_sumb_universality,3,5,samples/generated_response_time_3/response_n3_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.081196980,1
response_sup_sumb_universality,3,6,samples/generated_response_time_3/response_n3_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.401909133,1
response_sup_sumb_universality,3,7,samples/generated_response_time_3/response_n3_k7.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,2.283388573,1
response_sup_sumb_universality,3,8,samples/generated_response_time_3/response_n3_k8.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,11.982835446,1
response_sup_sumb_universality,3,9,samples/generated_response_time_3/response_n3_k9.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,43.549979781,1
response_sup_sumb_universality,3,10,samples/generated_response_time_3/response_n3_k10.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,176.610382914,1
response_sup_sumb_universality,4,4,samples/generated_response_time_3/response_n4_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.018314620,1
response_sup_sumb_universality,4,5,samples/generated_response_time_3/response_n4_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.118769165,1
