experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
resource_limsupavg_max_emptiness,1,1,samples/generated_resource_consumption/resource_n1_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,0.000412148,1
resource_limsupavg_max_emptiness,1,2,samples/generated_resource_consumption/resource_n1_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OK,0.002800748,1
resource_limsupavg_max_emptiness,1,3,samples/generated_resource_consumption/resource_n1_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,OK,0.019298813,1
resource_limsupavg_max_emptiness,1,4,samples/generated_resource_consumption/resource_n1_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,OK,0.215743088,1
resource_limsupavg_max_emptiness,1,5,samples/generated_resource_consumption/resource_n1_k5.txt,emptiness,LimSupAvg,Max,5.0,3,300.0,1,OK,1.749023954,1
resource_limsupavg_max_emptiness,1,6,samples/generated_resource_consumption/resource_n1_k6.txt,emptiness,LimSupAvg,Max,6.0,3,300.0,1,OK,12.825760956,1
resource_limsupavg_max_emptiness,1,7,samples/generated_resource_consumption/resource_n1_k7.txt,emptiness,LimSupAvg,Max,7.0,3,300.0,1,OK,83.062379194,1
resource_limsupavg_max_emptiness,1,8,samples/generated_resource_consumption/resource_n1_k8.txt,emptiness,LimSupAvg,Max,8.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,1,9,samples/generated_resource_consumption/resource_n1_k9.txt,emptiness,LimSupAvg,Max,9.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,1,10,samples/generated_resource_consumption/resource_n1_k10.txt,emptiness,LimSupAvg,Max,10.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,2,1,samples/generated_resource_consumption/resource_n2_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,0.049674283,1
resource_limsupavg_max_emptiness,2,2,samples/generated_resource_consumption/resource_n2_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,OK,6.823546976,1
resource_limsupavg_max_emptiness,2,3,samples/generated_resource_consumption/resource_n2_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,TIMEOUT,,
resource_limsupavg_max_emptiness,3,1,samples/generated_resource_consumption/resource_n3_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,OK,33.467895166,1
resource_limsupavg_max_emptiness,3,2,samples/generated_resource_consumption/resource_n3_k2.txt,emptiness,LimSupAvg,Max,2.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,3,samples/generated_resource_consumption/resource_n3_k3.txt,emptiness,LimSupAvg,Max,3.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,4,samples/generated_resource_consumption/resource_n3_k4.txt,emptiness,LimSupAvg,Max,4.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,5,samples/generated_resource_consumption/resource_n3_k5.txt,emptiness,LimSupAvg,Max,5.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,6,samples/generated_resource_consumption/resource_n3_k6.txt,emptiness,LimSupAvg,Max,6.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,7,samples/generated_resource_consumption/resource_n3_k7.txt,emptiness,LimSupAvg,Max,7.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,8,samples/generated_resource_consumption/resource_n3_k8.txt,emptiness,LimSupAvg,Max,8.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,9,samples/generated_resource_consumption/resource_n3_k9.txt,emptiness,LimSupAvg,Max,9.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,3,10,samples/generated_resource_consumption/resource_n3_k10.txt,emptiness,LimSupAvg,Max,10.0,3,300.0,1,ERR,,
resource_limsupavg_max_emptiness,4,1,samples/generated_resource_consumption/resource_n4_k1.txt,emptiness,LimSupAvg,Max,1.0,3,300.0,1,TIMEOUT,,
