experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
resource_sup_max_emptiness,1,1,samples/generated_resource_consumption/resource_n1_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.000645982,1
resource_sup_max_emptiness,1,2,samples/generated_resource_consumption/resource_n1_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.001065605,1
resource_sup_max_emptiness,1,3,samples/generated_resource_consumption/resource_n1_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,0.001761584,1
resource_sup_max_emptiness,1,4,samples/generated_resource_consumption/resource_n1_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,0.003483197,1
resource_sup_max_emptiness,1,5,samples/generated_resource_consumption/resource_n1_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,0.008999157,1
resource_sup_max_emptiness,1,6,samples/generated_resource_consumption/resource_n1_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OK,0.019875557,1
resource_sup_max_emptiness,1,7,samples/generated_resource_consumption/resource_n1_k7.txt,emptiness,Sup,Max,7.0,3,300.0,1,OK,0.044885773,1
resource_sup_max_emptiness,1,8,samples/generated_resource_consumption/resource_n1_k8.txt,emptiness,Sup,Max,8.0,3,300.0,1,OK,0.171396110,1
resource_sup_max_emptiness,1,9,samples/generated_resource_consumption/resource_n1_k9.txt,emptiness,Sup,Max,9.0,3,300.0,1,OK,0.492218248,1
resource_sup_max_emptiness,1,10,samples/generated_resource_consumption/resource_n1_k10.txt,emptiness,Sup,Max,10.0,3,300.0,1,OK,1.565190582,1
resource_sup_max_emptiness,2,1,samples/generated_resource_consumption/resource_n2_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.004172113,1
resource_sup_max_emptiness,2,2,samples/generated_resource_consumption/resource_n2_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.011785229,1
resource_sup_max_emptiness,2,3,samples/generated_resource_consumption/resource_n2_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,0.049528415,1
resource_sup_max_emptiness,2,4,samples/generated_resource_consumption/resource_n2_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,0.289551462,1
resource_sup_max_emptiness,2,5,samples/generated_resource_consumption/resource_n2_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,1.625243057,1
resource_sup_max_emptiness,2,6,samples/generated_resource_consumption/resource_n2_k6.txt,emptiness,Sup,Max,6.0,3,300.0,1,OK,8.727992063,1
resource_sup_max_emptiness,2,7,samples/generated_resource_consumption/resource_n2_k7.txt,emptiness,Sup,Max,7.0,3,300.0,1,OK,50.936241477,1
resource_sup_max_emptiness,2,8,samples/generated_resource_consumption/resource_n2_k8.txt,emptiness,Sup,Max,8.0,3,300.0,1,ERR,,
resource_sup_max_emptiness,2,9,samples/generated_resource_consumption/resource_n2_k9.txt,emptiness,Sup,Max,9.0,3,300.0,1,ERR,,
resource_sup_max_emptiness,2,10,samples/generated_resource_consumption/resource_n2_k10.txt,emptiness,Sup,Max,10.0,3,300.0,1,ERR,,
resource_sup_max_emptiness,3,1,samples/generated_resource_consumption/resource_n3_k1.txt,emptiness,Sup,Max,1.0,3,300.0,1,OK,0.026914340,1
resource_sup_max_emptiness,3,2,samples/generated_resource_consumption/resource_n3_k2.txt,emptiness,Sup,Max,2.0,3,300.0,1,OK,0.181384667,1
resource_sup_max_emptiness,3,3,samples/generated_resource_consumption/resource_n3_k3.txt,emptiness,Sup,Max,3.0,3,300.0,1,OK,1.555650959,1
resource_sup_max_emptiness,3,4,samples/generated_resource_consumption/resource_n3_k4.txt,emptiness,Sup,Max,4.0,3,300.0,1,OK,12.482713224,1
resource_sup_max_emptiness,3,5,samples/generated_resource_consumption/resource_n3_k5.txt,emptiness,Sup,Max,5.0,3,300.0,1,OK,123.706408548,1
