experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
response_limsupavg_sumplus_emptiness,1,1,samples/generated_response_time/response_n1_k1.txt,emptiness,LimSupAvg,SumPlus,1.0,3,300.0,1,OK,0.000390641,1
response_limsupavg_sumplus_emptiness,1,2,samples/generated_response_time/response_n1_k2.txt,emptiness,LimSupAvg,SumPlus,2.0,3,300.0,1,OK,0.001018463,1
response_limsupavg_sumplus_emptiness,1,3,samples/generated_response_time/response_n1_k3.txt,emptiness,LimSupAvg,SumPlus,3.0,3,300.0,1,OK,0.002980738,1
response_limsupavg_sumplus_emptiness,1,4,samples/generated_response_time/response_n1_k4.txt,emptiness,LimSupAvg,SumPlus,4.0,3,300.0,1,OK,0.010127239,1
response_limsupavg_sumplus_emptiness,1,5,samples/generated_response_time/response_n1_k5.txt,emptiness,LimSupAvg,SumPlus,5.0,3,300.0,1,OK,0.041678094,1
response_limsupavg_sumplus_emptiness,1,6,samples/generated_response_time/response_n1_k6.txt,emptiness,LimSupAvg,SumPlus,6.0,3,300.0,1,OK,0.176310194,1
response_limsupavg_sumplus_emptiness,1,7,samples/generated_response_time/response_n1_k7.txt,emptiness,LimSupAvg,SumPlus,7.0,3,300.0,1,OK,0.812255440,1
response_limsupavg_sumplus_emptiness,1,8,samples/generated_response_time/response_n1_k8.txt,emptiness,LimSupAvg,SumPlus,8.0,3,300.0,1,OK,2.736230677,1
response_limsupavg_sumplus_emptiness,1,9,samples/generated_response_time/response_n1_k9.txt,emptiness,LimSupAvg,SumPlus,9.0,3,300.0,1,OK,8.976921049,1
response_limsupavg_sumplus_emptiness,1,10,samples/generated_response_time/response_n1_k10.txt,emptiness,LimSupAvg,SumPlus,10.0,3,300.0,1,OK,30.236550467,1
response_limsupavg_sumplus_emptiness,1,16,samples/generated_response_time/response_n1_k16.txt,emptiness,LimSupAvg,SumPlus,16.0,3,300.0,1,TIMEOUT,,
response_limsupavg_sumplus_emptiness,2,2,samples/generated_response_time/response_n2_k2.txt,emptiness,LimSupAvg,SumPlus,2.0,3,300.0,1,OK,0.001295848,1
response_limsupavg_sumplus_emptiness,2,3,samples/generated_response_time/response_n2_k3.txt,emptiness,LimSupAvg,SumPlus,3.0,3,300.0,1,OK,0.006277285,1
response_limsupavg_sumplus_emptiness,2,4,samples/generated_response_time/response_n2_k4.txt,emptiness,LimSupAvg,SumPlus,4.0,3,300.0,1,OK,0.052262107,1
response_limsupavg_sumplus_emptiness,2,5,samples/generated_response_time/response_n2_k5.txt,emptiness,LimSupAvg,SumPlus,5.0,3,300.0,1,OK,0.531895947,1
response_limsupavg_sumplus_emptiness,2,6,samples/generated_response_time/response_n2_k6.txt,emptiness,LimSupAvg,SumPlus,6.0,3,300.0,1,OK,2.975657815,1
response_limsupavg_sumplus_emptiness,2,7,samples/generated_response_time/response_n2_k7.txt,emptiness,LimSupAvg,SumPlus,7.0,3,300.0,1,OK,14.677232358,1
response_limsupavg_sumplus_emptiness,2,8,samples/generated_response_time/response_n2_k8.txt,emptiness,LimSupAvg,SumPlus,8.0,3,300.0,1,OK,63.487418247,1
response_limsupavg_sumplus_emptiness,2,9,samples/generated_response_time/response_n2_k9.txt,emptiness,LimSupAvg,SumPlus,9.0,3,300.0,1,OK,259.733911639,1
response_limsupavg_sumplus_emptiness,2,10,samples/generated_response_time/response_n2_k10.txt,emptiness,LimSupAvg,SumPlus,10.0,3,300.0,1,TIMEOUT,,
response_limsupavg_sumplus_emptiness,3,3,samples/generated_response_time/response_n3_k3.txt,emptiness,LimSupAvg,SumPlus,3.0,3,300.0,1,OK,0.023235479,1
response_limsupavg_sumplus_emptiness,3,4,samples/generated_response_time/response_n3_k4.txt,emptiness,LimSupAvg,SumPlus,4.0,3,300.0,1,OK,0.497745321,1
response_limsupavg_sumplus_emptiness,3,5,samples/generated_response_time/response_n3_k5.txt,emptiness,LimSupAvg,SumPlus,5.0,3,300.0,1,OK,7.652426979,1
response_limsupavg_sumplus_emptiness,3,6,samples/generated_response_time/response_n3_k6.txt,emptiness,LimSupAvg,SumPlus,6.0,3,300.0,1,OK,78.074703695,1
response_limsupavg_sumplus_emptiness,3,7,samples/generated_response_time/response_n3_k7.txt,emptiness,LimSupAvg,SumPlus,7.0,3,300.0,1,TIMEOUT,,
response_limsupavg_sumplus_emptiness,4,4,samples/generated_response_time/response_n4_k4.txt,emptiness,LimSupAvg,SumPlus,4.0,3,300.0,1,OK,1.260009115,1
response_limsupavg_sumplus_emptiness,4,5,samples/generated_response_time/response_n4_k5.txt,emptiness,LimSupAvg,SumPlus,5.0,3,300.0,1,OK,35.795402722,1
