experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
response_sup_sumb_universality,1,1,samples/generated_response_time/response_n1_k1.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.000213986,1
response_sup_sumb_universality,1,2,samples/generated_response_time/response_n1_k2.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.002174465,1
response_sup_sumb_universality,1,3,samples/generated_response_time/response_n1_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.033485080,1
response_sup_sumb_universality,1,4,samples/generated_response_time/response_n1_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.632257320,1
response_sup_sumb_universality,1,5,samples/generated_response_time/response_n1_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,32.942232676,1
response_sup_sumb_universality,1,6,samples/generated_response_time/response_n1_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
response_sup_sumb_universality,2,2,samples/generated_response_time/response_n2_k2.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.003068003,1
response_sup_sumb_universality,2,3,samples/generated_response_time/response_n2_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.044861321,1
response_sup_sumb_universality,2,4,samples/generated_response_time/response_n2_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,1.595247599,1
response_sup_sumb_universality,2,5,samples/generated_response_time/response_n2_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,66.130530894,1
response_sup_sumb_universality,2,6,samples/generated_response_time/response_n2_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
response_sup_sumb_universality,3,3,samples/generated_response_time/response_n3_k3.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,0.084891925,1
response_sup_sumb_universality,3,4,samples/generated_response_time/response_n3_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,5.453701514,1
response_sup_sumb_universality,3,5,samples/generated_response_time/response_n3_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,135.091257602,1
response_sup_sumb_universality,3,6,samples/generated_response_time/response_n3_k6.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
response_sup_sumb_universality,4,4,samples/generated_response_time/response_n4_k4.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,OK,11.233712989,1
response_sup_sumb_universality,4,5,samples/generated_response_time/response_n4_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
response_sup_sumb_universality,5,5,samples/generated_response_time/response_n5_k5.txt,universality,Sup,SumB:auto,1.0,3,300.0,1,TIMEOUT,,
