experiment,n,k,file,problem,infval,finval,threshold,rep,timeout_s,warmup,status,mean_s,result01
response_sup_sumplus_emptiness,1,1,samples/generated_response_time/response_n1_k1.txt,emptiness,Sup,SumPlus,1.0,3,300.0,1,OK,0.000545795,1
response_sup_sumplus_emptiness,1,2,samples/generated_response_time/response_n1_k2.txt,emptiness,Sup,SumPlus,2.0,3,300.0,1,OK,0.000738175,1
response_sup_sumplus_emptiness,1,3,samples/generated_response_time/response_n1_k3.txt,emptiness,Sup,SumPlus,3.0,3,300.0,1,OK,0.000921897,1
response_sup_sumplus_emptiness,1,4,samples/generated_response_time/response_n1_k4.txt,emptiness,Sup,SumPlus,4.0,3,300.0,1,OK,0.000985178,1
response_sup_sumplus_emptiness,1,5,samples/generated_response_time/response_n1_k5.txt,emptiness,Sup,SumPlus,5.0,3,300.0,1,OK,0.001095068,1
response_sup_sumplus_emptiness,1,6,samples/generated_response_time/response_n1_k6.txt,emptiness,Sup,SumPlus,6.0,3,300.0,1,OK,0.001166071,1
response_sup_sumplus_emptiness,1,7,samples/generated_response_time/response_n1_k7.txt,emptiness,Sup,SumPlus,7.0,3,300.0,1,OK,0.001458428,1
response_sup_sumplus_emptiness,1,8,samples/generated_response_time/response_n1_k8.txt,emptiness,Sup,SumPlus,8.0,3,300.0,1,OK,0.001581385,1
response_sup_sumplus_emptiness,1,9,samples/generated_response_time/response_n1_k9.txt,emptiness,Sup,SumPlus,9.0,3,300.0,1,OK,0.001806321,1
response_sup_sumplus_emptiness,1,10,samples/generated_response_time/response_n1_k10.txt,emptiness,Sup,SumPlus,10.0,3,300.0,1,OK,0.001948287,1
response_sup_sumplus_emptiness,1,16,samples/generated_response_time/response_n1_k16.txt,emptiness,Sup,SumPlus,16.0,3,300.0,1,OK,0.003522382,1
response_sup_sumplus_emptiness,1,32,samples/generated_response_time/response_n1_k32.txt,emptiness,Sup,SumPlus,32.0,3,300.0,1,OK,0.008730344,1
response_sup_sumplus_emptiness,1,64,samples/generated_response_time/response_n1_k64.txt,emptiness,Sup,SumPlus,64.0,3,300.0,1,OK,0.028925486,1
response_sup_sumplus_emptiness,1,128,samples/generated_response_time/response_n1_k128.txt,emptiness,Sup,SumPlus,128.0,3,300.0,1,OK,0.109611575,1
response_sup_sumplus_emptiness,1,256,samples/generated_response_time/response_n1_k256.txt,emptiness,Sup,SumPlus,256.0,3,300.0,1,OK,0.543925766,1
response_sup_sumplus_emptiness,1,512,samples/generated_response_time/response_n1_k512.txt,emptiness,Sup,SumPlus,512.0,3,300.0,1,OK,2.426641025,1
response_sup_sumplus_emptiness,2,2,samples/generated_response_time/response_n2_k2.txt,emptiness,Sup,SumPlus,2.0,3,300.0,1,OK,0.000832313,1
response_sup_sumplus_emptiness,2,3,samples/generated_response_time/response_n2_k3.txt,emptiness,Sup,SumPlus,3.0,3,300.0,1,OK,0.001087006,1
response_sup_sumplus_emptiness,2,4,samples/generated_response_time/response_n2_k4.txt,emptiness,Sup,SumPlus,4.0,3,300.0,1,OK,0.001358884,1
response_sup_sumplus_emptiness,2,5,samples/generated_response_time/response_n2_k5.txt,emptiness,Sup,SumPlus,5.0,3,300.0,1,OK,0.001654310,1
response_sup_sumplus_emptiness,2,6,samples/generated_response_time/response_n2_k6.txt,emptiness,Sup,SumPlus,6.0,3,300.0,1,OK,0.001907929,1
response_sup_sumplus_emptiness,2,7,samples/generated_response_time/response_n2_k7.txt,emptiness,Sup,SumPlus,7.0,3,300.0,1,OK,0.002271727,1
response_sup_sumplus_emptiness,2,8,samples/generated_response_time/response_n2_k8.txt,emptiness,Sup,SumPlus,8.0,3,300.0,1,OK,0.002593493,1
response_sup_sumplus_emptiness,2,9,samples/generated_response_time/response_n2_k9.txt,emptiness,Sup,SumPlus,9.0,3,300.0,1,OK,0.003398563,1
response_sup_sumplus_emptiness,2,10,samples/generated_response_time/response_n2_k10.txt,emptiness,Sup,SumPlus,10.0,3,300.0,1,OK,0.003556002,1
response_sup_sumplus_emptiness,2,16,samples/generated_response_time/response_n2_k16.txt,emptiness,Sup,SumPlus,16.0,3,300.0,1,OK,0.006703285,1
response_sup_sumplus_emptiness,2,32,samples/generated_response_time/response_n2_k32.txt,emptiness,Sup,SumPlus,32.0,3,300.0,1,OK,0.015445491,1
response_sup_sumplus_emptiness,2,64,samples/generated_response_time/response_n2_k64.txt,emptiness,Sup,SumPlus,64.0,3,300.0,1,OK,0.059483349,1
response_sup_sumplus_emptiness,2,128,samples/generated_response_time/response_n2_k128.txt,emptiness,Sup,SumPlus,128.0,3,300.0,1,OK,0.280586847,1
response_sup_sumplus_emptiness,2,256,samples/generated_response_time/response_n2_k256.txt,emptiness,Sup,SumPlus,256.0,3,300.0,1,OK,1.240305712,1
response_sup_sumplus_emptiness,2,512,samples/generated_response_time/response_n2_k512.txt,emptiness,Sup,SumPlus,512.0,3,300.0,1,OK,5.297168030,1
response_sup_sumplus_emptiness,3,3,samples/generated_response_time/response_n3_k3.txt,emptiness,Sup,SumPlus,3.0,3,300.0,1,OK,0.001176348,1
response_sup_sumplus_emptiness,3,4,samples/generated_response_time/response_n3_k4.txt,emptiness,Sup,SumPlus,4.0,3,300.0,1,OK,0.001601331,1
