@PARENT
final: all
# Single-state parent: on s_i it calls child i, otherwise SILENT.
final: q0

s1 : 1, q0 -> q0     # Call child 1
s2 : 2, q0 -> q0     # Call child 2
s3 : 3, q0 -> q0     # Call child 3
s4 : 4, q0 -> q0     # Call child 4
s5 : 5, q0 -> q0     # Call child 5
t1 : 0, q0 -> q0     # Silent transition
t2 : 0, q0 -> q0     # Silent transition
t3 : 0, q0 -> q0     # Silent transition
t4 : 0, q0 -> q0     # Silent transition
t5 : 0, q0 -> q0     # Silent transition
a1_1 : 0, q0 -> q0   # Silent transition
a1_2 : 0, q0 -> q0   # Silent transition
a1_3 : 0, q0 -> q0   # Silent transition
a1_4 : 0, q0 -> q0   # Silent transition
a1_5 : 0, q0 -> q0   # Silent transition
a1_6 : 0, q0 -> q0   # Silent transition
a1_7 : 0, q0 -> q0   # Silent transition
a1_8 : 0, q0 -> q0   # Silent transition
a1_9 : 0, q0 -> q0   # Silent transition
a1_10 : 0, q0 -> q0   # Silent transition
a2_1 : 0, q0 -> q0   # Silent transition
a2_2 : 0, q0 -> q0   # Silent transition
a2_3 : 0, q0 -> q0   # Silent transition
a2_4 : 0, q0 -> q0   # Silent transition
a2_5 : 0, q0 -> q0   # Silent transition
a2_6 : 0, q0 -> q0   # Silent transition
a2_7 : 0, q0 -> q0   # Silent transition
a2_8 : 0, q0 -> q0   # Silent transition
a2_9 : 0, q0 -> q0   # Silent transition
a2_10 : 0, q0 -> q0   # Silent transition
a3_1 : 0, q0 -> q0   # Silent transition
a3_2 : 0, q0 -> q0   # Silent transition
a3_3 : 0, q0 -> q0   # Silent transition
a3_4 : 0, q0 -> q0   # Silent transition
a3_5 : 0, q0 -> q0   # Silent transition
a3_6 : 0, q0 -> q0   # Silent transition
a3_7 : 0, q0 -> q0   # Silent transition
a3_8 : 0, q0 -> q0   # Silent transition
a3_9 : 0, q0 -> q0   # Silent transition
a3_10 : 0, q0 -> q0   # Silent transition
a4_1 : 0, q0 -> q0   # Silent transition
a4_2 : 0, q0 -> q0   # Silent transition
a4_3 : 0, q0 -> q0   # Silent transition
a4_4 : 0, q0 -> q0   # Silent transition
a4_5 : 0, q0 -> q0   # Silent transition
a4_6 : 0, q0 -> q0   # Silent transition
a4_7 : 0, q0 -> q0   # Silent transition
a4_8 : 0, q0 -> q0   # Silent transition
a4_9 : 0, q0 -> q0   # Silent transition
a4_10 : 0, q0 -> q0   # Silent transition
a5_1 : 0, q0 -> q0   # Silent transition
a5_2 : 0, q0 -> q0   # Silent transition
a5_3 : 0, q0 -> q0   # Silent transition
a5_4 : 0, q0 -> q0   # Silent transition
a5_5 : 0, q0 -> q0   # Silent transition
a5_6 : 0, q0 -> q0   # Silent transition
a5_7 : 0, q0 -> q0   # Silent transition
a5_8 : 0, q0 -> q0   # Silent transition
a5_9 : 0, q0 -> q0   # Silent transition
a5_10 : 0, q0 -> q0   # Silent transition

@CHILD 0
# Silent/dummy child used by SILENT parent edges.
# Intended to accept epsilon immediately (no letter consumed).

@CHILD 1
# Resource-tracking child for process 1 with k=10 resources
# States: init + 1024 tracking subsets + rej + acc = 1027
final: acc1

s1 : 0, init1 -> track1_0   # consume call letter, start tracking
s2 : 0, init1 -> rej1
s3 : 0, init1 -> rej1
s4 : 0, init1 -> rej1
s5 : 0, init1 -> rej1
t1 : 0, init1 -> rej1
t2 : 0, init1 -> rej1
t3 : 0, init1 -> rej1
t4 : 0, init1 -> rej1
t5 : 0, init1 -> rej1
a1_1 : 0, init1 -> rej1
a1_2 : 0, init1 -> rej1
a1_3 : 0, init1 -> rej1
a1_4 : 0, init1 -> rej1
a1_5 : 0, init1 -> rej1
a1_6 : 0, init1 -> rej1
a1_7 : 0, init1 -> rej1
a1_8 : 0, init1 -> rej1
a1_9 : 0, init1 -> rej1
a1_10 : 0, init1 -> rej1
a2_1 : 0, init1 -> rej1
a2_2 : 0, init1 -> rej1
a2_3 : 0, init1 -> rej1
a2_4 : 0, init1 -> rej1
a2_5 : 0, init1 -> rej1
a2_6 : 0, init1 -> rej1
a2_7 : 0, init1 -> rej1
a2_8 : 0, init1 -> rej1
a2_9 : 0, init1 -> rej1
a2_10 : 0, init1 -> rej1
a3_1 : 0, init1 -> rej1
a3_2 : 0, init1 -> rej1
a3_3 : 0, init1 -> rej1
a3_4 : 0, init1 -> rej1
a3_5 : 0, init1 -> rej1
a3_6 : 0, init1 -> rej1
a3_7 : 0, init1 -> rej1
a3_8 : 0, init1 -> rej1
a3_9 : 0, init1 -> rej1
a3_10 : 0, init1 -> rej1
a4_1 : 0, init1 -> rej1
a4_2 : 0, init1 -> rej1
a4_3 : 0, init1 -> rej1
a4_4 : 0, init1 -> rej1
a4_5 : 0, init1 -> rej1
